DateTime,ph1,ph2,ph3
2019-02-08 07:36:36.443000+00:00,4732.89,4654.44,4835.02
2019-02-08 07:36:36.693000+00:00,4909.13,4775.16,4996.67
2019-02-08 07:36:36.943000+00:00,7323.25,7180.79,7409.14
2019-02-08 07:36:37.193000+00:00,4948.74,4841.83,5046.41
2019-02-08 07:36:37.443000+00:00,5112.94,5007.35,5204.74
2019-02-08 07:36:37.693000+00:00,5366.45,5243.95,5433.18
2019-02-08 07:36:37.943000+00:00,4909.93,4808.56,4961.24
2019-02-08 07:36:38.193000+00:00,4806.08,4720.97,4868.75
2019-02-08 07:36:38.443000+00:00,4838.05,4743.26,4911.85
2019-02-08 07:36:38.693000+00:00,4835.25,4749.88,4898.23
2019-02-08 07:36:38.943000+00:00,4863.1,4774.69,4917.84
2019-02-08 07:36:39.193000+00:00,4882.94,4784.97,4943.75
2019-02-08 07:36:39.443000+00:00,4847.4,4767.23,4897.85
2019-02-08 07:36:39.693000+00:00,4866.75,4777.39,4926.28
2019-02-08 07:36:39.943000+00:00,4893.6,4818.22,4966.96
2019-02-08 07:36:40.193000+00:00,4836.32,4771.35,4904.95
2019-02-08 07:36:40.443000+00:00,4820.52,4744.54,4891.47
2019-02-08 07:36:40.693000+00:00,4756.07,4688.99,4825.42
2019-02-08 07:36:40.943000+00:00,4746.04,4674.31,4792.22
2019-02-08 07:36:41.193000+00:00,4754.89,4687.44,4813.83
2019-02-08 07:36:41.443000+00:00,4760.0,4694.99,4824.92
2019-02-08 07:36:41.693000+00:00,4778.69,4701.96,4837.49
2019-02-08 07:36:41.943000+00:00,4876.15,4809.31,4952.76
2019-02-08 07:36:42.193000+00:00,4879.07,4812.87,4964.13
2019-02-08 07:36:42.443000+00:00,4915.72,4829.28,4973.02
2019-02-08 07:36:42.693000+00:00,4909.54,4824.77,4989.55
2019-02-08 07:36:42.943000+00:00,4908.6,4839.47,4976.76
2019-02-08 07:36:43.193000+00:00,4954.32,4871.21,5004.94
2019-02-08 07:36:43.443000+00:00,4897.28,4797.25,4938.77
2019-02-08 07:36:43.693000+00:00,4882.46,4803.1,4935.32
2019-02-08 07:36:43.943000+00:00,4905.2,4810.44,4921.36
2019-02-08 07:36:44.193000+00:00,5195.72,5051.75,5268.9
2019-02-08 07:36:44.443000+00:00,5776.44,5720.76,5869.64
2019-02-08 07:36:44.693000+00:00,5637.12,5555.18,5722.98
2019-02-08 07:36:44.943000+00:00,5678.35,5602.35,5777.91
2019-02-08 07:36:45.193000+00:00,5661.2,5586.38,5745.65
2019-02-08 07:36:45.443000+00:00,5650.62,5557.53,5720.16
2019-02-08 07:36:45.693000+00:00,5665.81,5577.11,5757.81
2019-02-08 07:36:45.943000+00:00,5638.37,5555.62,5720.61
2019-02-08 07:36:46.193000+00:00,5642.91,5555.73,5724.55
2019-02-08 07:36:46.443000+00:00,5641.8,5550.27,5731.26
2019-02-08 07:36:46.693000+00:00,6492.36,6500.88,6619.65
2019-02-08 07:36:46.943000+00:00,5703.75,5605.84,5775.76
2019-02-08 07:36:47.193000+00:00,5667.64,5572.44,5766.05
2019-02-08 07:36:47.443000+00:00,5638.91,5561.06,5737.68
2019-02-08 07:36:47.693000+00:00,5660.52,5570.28,5751.04
2019-02-08 07:36:47.943000+00:00,5666.33,5572.95,5777.5
2019-02-08 07:36:48.193000+00:00,5262.06,5186.37,5374.52
2019-02-08 07:36:48.443000+00:00,5067.4,4962.53,5152.48
2019-02-08 07:36:48.693000+00:00,5028.36,4915.89,5107.89
2019-02-08 07:36:48.943000+00:00,4944.26,4850.15,5013.77
2019-02-08 07:36:49.193000+00:00,4922.82,4813.16,4991.92
2019-02-08 07:36:49.443000+00:00,4897.59,4789.68,4962.88
2019-02-08 07:36:49.693000+00:00,5603.12,5493.02,5699.79
2019-02-08 07:36:49.943000+00:00,4889.6,4764.51,4935.52
2019-02-08 07:36:50.193000+00:00,5825.74,5715.52,5872.66
2019-02-08 07:36:50.443000+00:00,5177.48,5038.52,5232.18
2019-02-08 07:36:50.693000+00:00,4884.66,4763.53,4929.85
2019-02-08 07:36:50.943000+00:00,4904.52,4804.54,4961.33
2019-02-08 07:36:51.193000+00:00,6047.81,5950.11,6094.36
2019-02-08 07:36:51.443000+00:00,6636.22,6461.42,6685.97
2019-02-08 07:36:51.693000+00:00,5188.23,5073.77,5254.67
2019-02-08 07:36:51.943000+00:00,5774.07,5699.71,5861.89
2019-02-08 07:36:52.193000+00:00,5388.73,5288.92,5471.55
2019-02-08 07:36:52.443000+00:00,5064.85,4976.44,5133.56
2019-02-08 07:36:52.693000+00:00,5025.17,4934.72,5090.35
2019-02-08 07:36:52.943000+00:00,5038.84,4963.11,5124.03
2019-02-08 07:36:53.193000+00:00,5030.0,4931.18,5095.1
2019-02-08 07:36:53.443000+00:00,5007.56,4918.08,5086.56
2019-02-08 07:36:53.693000+00:00,5225.79,5172.64,5303.45
2019-02-08 07:36:53.943000+00:00,5867.34,5782.56,5989.52
2019-02-08 07:36:54.193000+00:00,4923.45,4850.73,5005.05
2019-02-08 07:36:54.443000+00:00,4883.07,4817.92,4964.62
2019-02-08 07:36:54.693000+00:00,4836.13,4765.23,4914.08
2019-02-08 07:36:54.943000+00:00,4837.36,4764.83,4903.19
2019-02-08 07:36:55.193000+00:00,7485.0,7413.37,7539.88
2019-02-08 07:36:55.443000+00:00,5065.32,4944.21,5146.06
2019-02-08 07:36:55.693000+00:00,4713.87,4644.16,4769.85
2019-02-08 07:36:55.943000+00:00,4735.05,4663.15,4794.85
2019-02-08 07:36:56.193000+00:00,4704.3,4652.54,4765.88
2019-02-08 07:36:56.443000+00:00,4707.85,4645.87,4755.69
2019-02-08 07:36:56.693000+00:00,4725.47,4667.93,4779.02
2019-02-08 07:36:56.943000+00:00,4607.97,4543.14,4651.09
2019-02-08 07:36:57.193000+00:00,4486.61,4412.22,4519.8
2019-02-08 07:36:57.443000+00:00,4475.95,4403.48,4524.38
